category,entity_id,category_readable,entity_alias_basket,entity_alias_readable,natural_source_name,entity_alias,entity_alias_synonyms,molecules.bond_stereo_count,molecules.undefined_atom_stereocenter_count,molecules.taste,molecules.functional_groups,molecules.fooddb_flavor_profile,molecules.supersweetdb_id,molecules.fema_number,molecules.fooddb_id,molecules.common_name,molecules.hba_count,molecules.synthetic,molecules.isotope_atom_count,molecules.bitterdb_id,molecules.covalently_bonded_unit_count,molecules.molecular_weight,molecules.super_sweet,molecules.charge,molecules.flavornet_id,molecules.fenoroli_and_os,molecules.exact_mass,molecules.pubchem_id,molecules.bitter,molecules.iupac_name,molecules.volume3d,molecules.unknown_natural,molecules.odor,molecules.num_rotatablebonds,molecules.smile,molecules.inchi,molecules.undefined_bond_stereocenter_count,molecules.defined_bond_stereocenter_count,molecules.xlogp,molecules.topological_polor_surfacearea,molecules.cas_id,molecules.natural,molecules.flavor_profile,molecules.hbd_count,molecules.fema_flavor_profile,molecules.complexity,molecules.heavy_atom_count,molecules.defined_atom_stereocenter_count,molecules.monoisotopic_mass,molecules.atom_stereo_count
bakery,1,Bakery,bakery-products,Bakery Products,Poacceae,bakery,Bakery Products,0,0,,aromatic compound@heterocyclic compound,butter@caramel@nut@peanut butter@meat@leather@coffee@cocoa@peanut@nutty@almond@walnut,,3271,FDB010958,"2,3-Dimethylpyrazine",2,0,0,,1,108.144,,0,1,1,108.069,22201,0,"2,3-dimethylpyrazine",89.7,0,,0,CC1=NC=CN=C1C,"InChI=1S/C6H8N2/c1-5-6(2)8-4-3-7-5/h3-4H,1-2H3",0,0,0.5,25.8,25704-73-8@5910-89-4,1,butter@caramel@nut@peanut butter@meat@leather@coffee@cocoa@peanut@nutty@almond@walnut,0,"Caramel, Cocoa, Hazelnut, Peanut Butter, Roasted",62.9,8,0,108.069,0
bakery,1,Bakery,bakery-products,Bakery Products,Poacceae,bakery,Bakery Products,0,0,,aromatic compound@heterocyclic compound,roast beef@roasted nuts@grass@medical@cocoa@woody@medicine@roasted nut@medicinal,,3272,FDB013954,"2,5-Dimethylpyrazine",2,0,0,,1,108.144,,0,1,1,108.069,31252,0,"2,5-dimethylpyrazine",90.1,0,,0,CC1=CN=C(C=N1)C,"InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3",0,0,0.6,25.8,123-32-0,1,roast beef@roasted nuts@grass@medical@cocoa@woody@medicine@roasted nut@medicinal,0,"Cocoa, Roast Beef, Roasted Nut",62.9,8,0,108.069,0
bakery,1,Bakery,bakery-products,Bakery Products,Poacceae,bakery,Bakery Products,0,0,,aromatic compound@heterocyclic compound,butter@roasted@peanut butter@bitter@musty@woody@cocoa@peanut@wood@nutty,,3281,FDB008533,2-Ethylpyrazine,2,0,0,111,1,108.144,,0,1,1,108.069,26331,1,2-ethylpyrazine,90.4,0,,1,CCC1=NC=CN=C1,"InChI=1S/C6H8N2/c1-2-6-5-7-3-4-8-6/h3-5H,2H2,1H3",0,0,0.7,25.8,13925-00-3@1392-50-3,1,butter@peanut@musty@cocoa@nutty@wood@roasted@woody@bitter@peanut butter,0,"Burnt, Green, Iron Scorch, Must, Peanut Butter, Roasted, Rum, Wood",63.5,8,0,108.069,0
bakery,1,Bakery,bakery-products,Bakery Products,Poacceae,bakery,Bakery Products,0,0,,aromatic compound@heterocyclic compound,raw@hazelnut@roast@sweat@potato@bread@musty@earthy@peanut@nutty@corn,,3155,FDB021162,2-Ethyl-3-Methylpyrazine,2,0,0,,1,122.171,,0,1,1,122.084,27457,0,2-ethyl-3-methylpyrazine,102.5,0,,1,CCC1=NC=CN=C1C,"InChI=1S/C7H10N2/c1-3-7-6(2)8-4-5-9-7/h4-5H,3H2,1-2H3",0,0,1.1,25.8,15707-23-0,1,raw@hazelnut@roast@sweat@potato@bread@musty@earthy@peanut@nutty@corn,0,"Green, Must, Nut, Potato, Roasted",83,9,0,122.084,0
bakery,1,Bakery,bakery-products,Bakery Products,Poacceae,bakery,Bakery Products,0,0,,aromatic compound@heterocyclic compound,chocolate@roasted@cocoa@peanut@nutty@popcorn@green,,3309,FDB011112,2-Methylpyrazine,2,0,0,,1,94.117,,0,1,1,94.053,7976,0,2-methylpyrazine,77.6,0,,0,CC1=NC=CN=C1,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",0,0,0.2,25.8,109-08-0,1,chocolate@roasted@cocoa@peanut@nutty@popcorn@green,0,"Cocoa, Green, Hazelnut, Popcorn, Roasted",54,7,0,94.053,0
bakery,1,Bakery,bakery-products,Bakery Products,Poacceae,bakery,Bakery Products,0,0,,aromatic compound@heterocyclic compound,hazelnut@roast@roasted@powdery@potato@must@musty@earthy@cocoa@peanut@nutty,,3244,FDB008527,"2,3,5-Trimethylpyrazine",2,0,0,,1,122.171,,0,1,1,122.084,26808,0,"2,3,5-trimethylpyrazine",102.5,0,,0,CC1=CN=C(C(=N1)C)C,"InChI=1S/C7H10N2/c1-5-4-8-6(2)7(3)9-5/h4H,1-3H3",0,0,1,25.8,14667-55-1,1,hazelnut@roast@roasted@powdery@potato@must@musty@earthy@cocoa@peanut@nutty,0,"Cocoa, Earth, Must, Potato, Roast",92.9,9,0,122.084,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,"bitter undertone@nut-like flavor on dilution@bitter, aromatic@burning taste",oxo(het)arene@aromatic compound@heterocyclic compound,new mown hay@bitter@green@sweet@tonka,10853,,FDB030742,coumarin,2,0,0,49,1,146.145,Sweet,0,1,1,146.037,323,1,chromen-2-one,116.3,0,"pleasant, fragrant odor resembling that of vanilla beans.@hay-like bittersweet odor",0,C1=CC=C2C(=C1)C=CC(=O)O2,InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,0,0,1.4,26.3,91-64-5,1,sweet@new mown hay@green@tonka@bitter,0,,196,11,0,146.037,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,"fruity, nutty, ... with cherry taste",carboxylic acid derivative@carboxylic acid ester@aromatic compound,prune@cananga@floral@wintergreen@lettuce@sweet@almond@herb@phenolic,,2683,FDB012198,Methyl Benzoate,2,0,0,,1,136.15,,0,1,1,136.052,7150,0,methyl benzoate,111.8,0,"fragrant odor@fruity odor, also similar to cananga@medicinal odor",2,COC(=O)C1=CC=CC=C1,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",0,0,2.1,26.3,93-58-3,1,prune@cananga@floral@wintergreen@lettuce@sweet@almond@herb@phenolic,0,"Herb, Lettuce, Prune, Violet",114,10,0,136.052,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,0,0,,carbonyl compound@ketone,ether@waxy@grape@sweet@rum@fruity,,3290,FDB008080,3-Hexanone,1,0,0,,1,100.161,,0,1,1,100.089,11509,0,hexan-3-one,90.9,0,,3,CCCC(=O)CC,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3",0,0,1.2,17.1,63072-44-6@589-38-8,1,ether@waxy@grape@sweet@rum@fruity,0,Grape,57.2,7,0,100.089,0
bakery,2,Bakery,"bread, bread-preferment",Bread,Poacceae,bread,Bread,1,0,"taste threshold values: taste characteristics at 10 ppm@sweet floral rose, citrus with fruity, waxy nuances",hydroxy compound@alcohol@primary alcohol@alkene,citrus@rose@waxy@floral@sweet@fruity@geranium,,2507,FDB013792,Geraniol,1,0,0,,1,154.253,,0,1,1,154.136,637566,0,"(2E)-3,7-dimethylocta-2,6-dien-1-ol",140.6,0,"sweet rose odor@pleasant geranium-like odor@pleasant, floral odor",4,CC(=CCCC(=CCO)C)C,"InChI=1S/C10H18O/c1-9(2)5-4-6-10(3)7-8-11/h5,7,11H,4,6,8H2,1-3H3/b10-7+",0,1,2.9,20.2,106-24-1@624-15-7@68311-14-8,1,citrus@rose@waxy@floral@sweet@fruity@geranium,1,"Geranium, Lemon Peel, Passion Fruit, Peach, Rose",150,11,0,154.136,0
